eps,min sample,mean ARI score
65.0,2.0,0.4161953753332463
65.0,3.0,0.42135219496779397
65.0,4.0,0.4476838024074586
65.0,5.0,0.45776229733416424
70.0,2.0,0.3910883285875635
70.0,3.0,0.39312312148489176
70.0,4.0,0.4183652610775248
70.0,5.0,0.4300691799018726
75.0,2.0,0.3625170942030861
75.0,3.0,0.3632930351286761
75.0,4.0,0.406842681967269
75.0,5.0,0.41722956389285043
80.0,2.0,0.34538191788429634
80.0,3.0,0.3455143646825355
80.0,4.0,0.3716357676881127
80.0,5.0,0.38367887811674434
85.0,2.0,0.3248297292828856
85.0,3.0,0.32555164560216393
85.0,4.0,0.3540651727222901
85.0,5.0,0.37052152956330253
90.0,2.0,0.3031200067921961
90.0,3.0,0.3024100913357522
90.0,4.0,0.3293094193207695
90.0,5.0,0.353574832109986
