eps,min sample,alpha,beta,mean ARI score
85.0,2.0,0.8,10.0,0.8210747483661505
85.0,2.0,1.0,10.0,0.8747556147570604
85.0,2.0,1.2,10.0,0.8677388120176744
85.0,2.0,0.8,15.0,0.8721047359537913
85.0,2.0,1.0,15.0,0.9229081041735397
85.0,2.0,1.2,15.0,0.9033584503512458
85.0,2.0,0.8,20.0,0.8884026362281803
85.0,2.0,1.0,20.0,0.925639481335888
85.0,2.0,1.2,20.0,0.9018281437535711
85.0,2.0,0.8,25.0,0.8767737204009612
85.0,2.0,1.0,25.0,0.9145431853584715
85.0,2.0,1.2,25.0,0.8777741507610826
85.0,2.0,0.8,30.0,0.8654935260234811
85.0,2.0,1.0,30.0,0.8861728531362103
85.0,2.0,1.2,30.0,0.8459257886828432
85.0,2.0,0.8,35.0,0.8429774795686305
85.0,2.0,1.0,35.0,0.8622865096530541
85.0,2.0,1.2,35.0,0.8017748221081599
85.0,2.0,0.8,40.0,0.822122344276799
85.0,2.0,1.0,40.0,0.8312047796193206
85.0,2.0,1.2,40.0,0.745883236347669
