eps,min sample,mean ARI score
65.0,2.0,0.6494228040243002
65.0,3.0,0.653440680023852
65.0,4.0,0.6494942100990532
65.0,5.0,0.6370975121354511
70.0,2.0,0.6431330502859192
70.0,3.0,0.6456444187961827
70.0,4.0,0.6471865080104393
70.0,5.0,0.6461581833861946
75.0,2.0,0.6365800871565989
75.0,3.0,0.6357848398258129
75.0,4.0,0.6409028578614779
75.0,5.0,0.6393108077282118
80.0,2.0,0.6229215470100877
80.0,3.0,0.6237163511773003
80.0,4.0,0.6236614472356207
80.0,5.0,0.6282761857189282
85.0,2.0,0.5990942865844006
85.0,3.0,0.6013230865119124
85.0,4.0,0.6104819906519129
85.0,5.0,0.6065995802490848
90.0,2.0,0.5861633346720136
90.0,3.0,0.5896438348371857
90.0,4.0,0.5949182244857538
90.0,5.0,0.602317054100225
