alpha,phi,mean ARI score
0.8,50.0,0.6406069303466502
1.0,50.0,0.7170065456070774
1.2,50.0,0.7243732503927093
0.8,100.0,0.7059189517947351
1.0,100.0,0.7701764836339247
1.2,100.0,0.7622513003873838
0.8,150.0,0.7318941791708938
1.0,150.0,0.7869509714282467
1.2,150.0,0.7610664810842142
0.8,200.0,0.744469588992973
1.0,200.0,0.775623908902765
1.2,200.0,0.7355802218747223
